Country,Corporate tax,Income Tax(lowest marginal rate),Income Tax(highest marginal rate)
Pakistan,31,7,31
Palau,0,0,0
Palestine,15,5,15
Panama,25,0,27
Papua New Guinea,0,0,0
Paraguay,10,8,10
Peru[36],30,0,30
Philippines,30,0,35
Pitcairn Islands,0,0,0
Poland[147],19,0,32
Portugal[32],21,14,48
Puerto Rico,20,0,33
Qatar[32],10,0,0
Romania,16,10,10
Russia[32],20,13,47
Rwanda,30,0,30
Saint Kitts and Nevis,0,0,0
Saint Lucia,0,0,0
Saint Pierre and Miquelon,0,0,0
Saint Vincent and the Grenadines,0,0,0
Samoa,0,0,0
San Marino,17,12,50
São Tomé and Príncipe,0,0,0
Sark,0,0,0
Saudi Arabia[152],5,2,2
Senegal[36],25,0,50
Serbia[153],15,10,25
Seychelles,40,15,15
Sierra Leone,0,0,0
Singapore,17,0,22
Sint Maarten,0,0,0
Slovakia,22,0,25
Slovenia[32],19,16,50
Solomon Islands,0,0,0
Somalia,0,0,0
South Africa,28,0,45
South Sudan,0,0,0
Spain[32],25,0,45
Sri Lanka[32],30,0,15
Sudan,0,0,0
Suriname,36,8,38
Sweden,21,32,57
Switzerland[36],17,0,11
Syria[32],22,5,15
Taiwan[32],20,5,40
Tajikistan[171],13,5,13
Tanzania,30,15,30
Thailand,20,0,35
Togo,0,0,0
Tokelau,0,0,0
Tonga,0,0,0
Trinidad and Tobago,25,0,25
Tunisia[36],30,0,35
Turkey[32],20,15,35
Turkmenistan,0,0,0
Turks and Caicos Islands,0,0,0
Tuvalu,0,0,0
Uganda,30,0,0
Ukraine,,18,
United Arab Emirates,0,0,0
United Kingdom[177],19,0,47
United States,21,10,37
Uruguay[36],25,0,30
Uzbekistan[36],12,12,12
Vanuatu,0,0,0
Venezuela[36],34,6,34
Vietnam[32],20,5,35
British Virgin Islands,0,0,0
U.S. Virgin Islands,10,0,0
Yemen,20,10,15
Zambia,35,10,30
Zimbabwe,25,0,45
